video_url,author,text
https://www.youtube.com/watch?v=mR2tKo21f2Q,@Ekanayake-bu8ze,මෙවර පලාත් පාලන මැතිවරණයේ දී NPP මාලිමාවට ඡන්දය දෙන අපේ රටේ ඇත්ත මිනිසුන්ට ජාතියේ උත්තමාචාරය 
https://www.youtube.com/watch?v=mR2tKo21f2Q,@shiromanie2259,ජයවේවා  ලොකු සහෝදරයා.ඔබේ කැපවීම  මිල කලනොහැක.
https://www.youtube.com/watch?v=mR2tKo21f2Q,@maduranganik1426,අපි දිනමු .ගම හදමු..️
https://www.youtube.com/watch?v=mR2tKo21f2Q,@Amarathunge,ස්තූතියි......
https://www.youtube.com/watch?v=mR2tKo21f2Q,@nisaljayawardena,"අ  ️ අනාගතය 
නු ️ නුඹයි
ර  ️ රටේ"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@CharithaSovis,ගියපාර මාලිමාවට 2/3 බලයක් අපි ලබා දුන්නා වගේ මෙවරත් සියලුම පලාත් සභාවල 5/6 බලය මාලිමාවට ලබා දෙමු! 🇱🇰
https://www.youtube.com/watch?v=mR2tKo21f2Q,@Deepthi-v1q,නියමායි ..මාලිමාවට ජයවේවා ..
https://www.youtube.com/watch?v=mR2tKo21f2Q,@DonRathnasiri-hv7rk,කිසිම ලාබ ප්‍රයෝජනයක් නැතුව ජනතා සේවයට කැප උන ජනාධිපතිතුමා  Tilwin සහෝදරයා ඇතුලු මාලිමාවෙ සහෝදරත්වයට උතුම් දළදා සමිදුන්ගේ ආශිර්වාදය වේවා  මෙදාගමන 5/6 ක් හෝ ඊට ආසන්න ප්‍රමාණයක මනාප ලැබෙනවමයි Shure එකට  Asoka Dias මල්ලි ඔබත් ඉතාමත් නිහතමානී මධ්‍යස්ත මනුස්සයෙක් ඔබට අපගේ ගවුරවය  කැනඩාවේ 🇨🇦 සිට
https://www.youtube.com/watch?v=mR2tKo21f2Q,@ashan2000,Big boss. The best general secretary to a political party I have ever seen. 
https://www.youtube.com/watch?v=mR2tKo21f2Q,@nimalsamaranayake1249, A K D is our only hope  in  Srilanka !
https://www.youtube.com/watch?v=mR2tKo21f2Q,@tudorartsl4047,ටිල්වින් සහෝදරයා ලස්සන වෙලා
https://www.youtube.com/watch?v=mR2tKo21f2Q,@roshanpercy6854,ඉතුරු සෙට් එකත් මේපාර මාලිමාවට...... මුළු රටම
https://www.youtube.com/watch?v=mR2tKo21f2Q,@anandakumara2595,"JAYA,SIKURUI,SAHOO.."
https://www.youtube.com/watch?v=mR2tKo21f2Q,@eigochat,"Local government election 90% vote for NPP/JVP 
FOR SURE!!!

පළාත් පාලන මැතිවරණයේදී 90% ක ඡන්ද ප්‍රතිශතයක් NPP/JVP සඳහායි 
නිසැකවම!!!

உள்ளாட்சித் தேர்தலில் 90% வாக்குகள் NPP/JVPக்கு 
நிச்சயமாக!!!"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@kamalgunawardana4913,NPP jayawewa
https://www.youtube.com/watch?v=mR2tKo21f2Q,@SarathBandara-o7k,එලකිරි ලොක්කා ප්යව්වා
https://www.youtube.com/watch?v=mR2tKo21f2Q,@LalithaKosala,"He's the one head of NPP, Go ahead big brother we will not leave Malimawa don't worry"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@kumarahewage4479,Siyaluma බලය NPP එකට දෙන්නම ඕනෙ... හොරුන්ට පාඩමක් ugannanna නම්..
https://www.youtube.com/watch?v=mR2tKo21f2Q,@sajeevaniepriyanka4553,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@pofansrilanka7345,"ටිල්වින් මල්ලී, කලු සුද්දා, බතලයා, බැද්දගානේ අහවලා වැනි පලාත්බද කුඩු පාතාල ජාලයන්ගේ සිට රනිල්, ගෝටා, මහින්ද, නාමල්, යෝෂිත, ටිරාන්, දේශබන්දු, ඇතැම් හමුදා හා පොලිස් ලොක්කෝ, නීතිපති, පොලිස් කොමිසම ආදී අති විශාල ධනය හිමි දේශපාලන පාතාලය දක්වා විහිදෙන මැර සේනාව නිදහසේ මාලිමා ආන්ඩුව යටකරගෙන සිටිනතුරු අපේ ජාතියට ගොඩඒමක් නොමැත. මේ අපරාධකාරයන් මර්ධනය කිරීමට මාලිමා පක්ෂපාතී ජනතා අරගලයක් දියත්කල යුතුවේවි නේද?"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@RitaHannah-c6y,"Welasanin genna thibuna pakshayak, NPP jayawewa"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@dineshweerasinghe9373,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@PathmalathaDG,අපි.මාලිමාව.දිනවමූ.හොරු.න්ට.තවත්.හොරා.කන්න.ඉඩ.නොතබමූ
https://www.youtube.com/watch?v=mR2tKo21f2Q,@DineshDadi-y9b,npp 
https://www.youtube.com/watch?v=mR2tKo21f2Q,@RuwanthiSuranga,Npp
https://www.youtube.com/watch?v=mR2tKo21f2Q,@nisaljayawardena,"LET'S ACHIEVE A GREAT VICTORY FOR THE NATIONAL PEOPLE'S POWER IN THE UPCOMING LOCAL GOVERNMENT ELECTIONS!
 NPP "
https://www.youtube.com/watch?v=mR2tKo21f2Q,@nisaljayawardena,JVP  NPP  AKD 🇱🇰
https://www.youtube.com/watch?v=mR2tKo21f2Q,@athukoralagechandrapala1834, jayawawa  Sahodaraya
https://www.youtube.com/watch?v=mR2tKo21f2Q,@ChandanaPerera-e6o,ලොකු අයියා
https://www.youtube.com/watch?v=mR2tKo21f2Q,@samarathungahallinnage1713,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@Ekanayake-bu8ze,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@realvam1992,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@yvonnethomas380,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@chathurangakbs1639,Good morning sir .sorry sir
https://www.youtube.com/watch?v=mR2tKo21f2Q,@namiskitchen3426,"Tilvin. Anura ta kiyanna neethipathi iwath karanna kiyala. Agili nogaha baha. Rata winashayata yanawa. 
Chamuditha ekka  girl kenek kathakaranawa yesterday. Dewndara dehi gedara aya minimarana hati saha hamudawa, nakotic, STF 
Kudu jawarame yedena hati .
Wahama soyabala dadi piyawara ganna. 
Horu elawa aluth daruwana thana denna.
If you want to build a country clean nakotic, police, STF.
Sarah Fonseka aragena ratae arakshawa baradenna.
He will clean the country."
https://www.youtube.com/watch?v=mR2tKo21f2Q,@nalakaindrakumara1141,අතිගරු ජනාධිපතිතුමනි මැතිවරණ හතරම නිශ්චිත දිනයක පවත්වන වැඩපිළිවෙළක් ඉක්මනින්ම හදන්න මනාප ඡන්ද අහෝසි කරන්න සියලුම මැතිවරණ වල⁣ට.
https://www.youtube.com/watch?v=mR2tKo21f2Q,@nisaljayawardena,"ඉදිරියේදී පැවැත්වීමට නියමිත පළාත් පාලන මැතිවරණය, ජාතික ජනබලවේගයට විශිෂ්ට ජයග්‍රහණයක් අත් කර දෙමු! දැන්ම වැඩේට බහිමු! මාලිමාව දිනවමු!  NPP"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@Pathmini-j3v,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@PrinceKumara-b1l,මාලිමාව සමග අපි ඉන්නවා.
https://www.youtube.com/watch?v=mR2tKo21f2Q,@pradeeperanga8958,Npp
https://www.youtube.com/watch?v=mR2tKo21f2Q,@anandakumara2595,"GOOD,MORNING,️️️.RATEEAMA,MALLILA,NANGILAGEA,LOKU,AIYAA,"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@Rosam-l6g,"Really honest true leadership has sacrificed his life for the betterment of our future No hidden agendas if our people had given the power to them 
our economy should have not been broken"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@ruwanlakshitha5886,A win for NPP means a win for the people of Sri Lanka. Do not let the corrupt opposition to dismantle the development agenda. We must all stand unite to support the government 
https://www.youtube.com/watch?v=mR2tKo21f2Q,@aloysiusjesuthasan5264,NPP
https://www.youtube.com/watch?v=mR2tKo21f2Q,@janakaprasanga713,"2/3 බලයක්  තියෙන නිසා,  ආණ්ඩුව කරන්න ඕන වැදගත් අණ පනත් ගෙනල්ල සම්මත කරන්න සෑම පාර්ලිමේන්තු මන්ත්‍රීවරයෙක්ටම.. අදාළව කරනු ලබන  වියදම්  පාර්ලිමේන්තුව හරහා  සිදුකරන්න..  අමාත්‍යාංශ වලින්  සිදුකරන නිසා තමා හොරකම් සිදුවෙන්නේ.  පාර්ලිමේන්තුවෙන්  වාහනයක්  driver කෙනෙක්   නිවසක්  දෙන්න ඕන..වෙන කිසිම විදියකින්  ාර්ලිමේන්තු මන්ත්‍රීවරුන්ට  අදාළ වියදම්  සිදු කිරීම තහනම්  කරන්න ඕන.  මේ ලෝකේ අවංක මිනිස්සුන් කියලා ජාතියක් නෑ.වත්කම් බැරකම් ප්‍රකාශ  කරන්න ඉ ඉදිර ඉදිරිපත් කිරීමට අදාළා පනත් වෙනස් කරන්න ඕන,  මේ ආණ්ඩුව ඒවා කරන්න ඇත්නම්  ඇති වැඩකුත් නෑ"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@tharindu2803,දෙන් නෑ ආයෙ
https://www.youtube.com/watch?v=mR2tKo21f2Q,@MorinMolligoda,Good luck NPP
https://www.youtube.com/watch?v=mR2tKo21f2Q,@dharmadasaathukorala8496,Aparadha karuwanta karunawa dakwanne nam “. Sirisangabo rajathumata siduwunu akarathebbaya “mema government ekatath sidu nowewida?
https://www.youtube.com/watch?v=mR2tKo21f2Q,@n-lyrics8798,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@chamaripriyangani4177,"Tilvin sahodarrayata
Game chandeta kola ba districayata mahajanayage oluwa hadimata Godak wenasak ganna we v Npp dinaweemata"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@MaheshSiriwardane,Balan Inna. Chanda 1/2 adu wenawa.
https://www.youtube.com/watch?v=mR2tKo21f2Q,@chamaripriyangani4177,Mewarath weddima chandayen NPP dinawamu
https://www.youtube.com/watch?v=mR2tKo21f2Q,@dharmadasaathukorala8496,"Meweni kepakireem karana party secretary,gawinta penenne helapayek wagelu"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@chamaripriyangani4177,Ape kena game enawa dinawanna thamai sanvidaya wela thibenne Dan Dan gamata gihin bimmattame Cita oluwa hadanna we v putha
https://www.youtube.com/watch?v=mR2tKo21f2Q,@dharmadasaathukorala8496,Desabandu thanathurin iwathnokaranne manda? Tilwin saho pehedil karanna. Boho aya kiyanne. Npp ekata kondak nomethi bawai. Eya apa semata getaluwa Jo.
https://www.youtube.com/watch?v=mR2tKo21f2Q,@upalikasthuriarachchikas-tr6ug,Akath kannada hadanne
https://www.youtube.com/watch?v=mR2tKo21f2Q,@NilanganiWikcramasinghe,"MULU RATAMA APPI DUNNA...
DUPPATH AMMALA THATHTHALA DUK WINDINAWA...
AE AMMALA THATHTHALA GE WISRAMA WATUPA....
APPRIL MAASAYEDI KOTASAK GEWANNA.."
https://www.youtube.com/watch?v=mR2tKo21f2Q,@mikeh4713,"මෙයා කවුද?  මෙයාද අපේ ජනාධිපති?  එහෙම නැත්නම්, අනුරකුමාරගෙ පුරෝහිතයද?  කොහෙදෝ ඉන්න හැලපයෙක් ගෙනත් ආණ්ඩුව ගැන ප්‍රශ්ණ විචාරය කරන්න නාලිකාව මඤ්ඤංද?"
https://www.youtube.com/watch?v=mR2tKo21f2Q,@danushkadishan6745,
https://www.youtube.com/watch?v=mR2tKo21f2Q,@maheshgunawardana9599,
https://www.youtube.com/watch?v=QQ7IymVHpBA,@sankadissanayaka8760,මාරුවීම් දුන්නට වැඩක් නෑ මුං ඔක්කොම එකයි. මුං ඔක්කොම මාරු කරන්න ඕනේ වැඩිහිටි නිවාස වලට 
https://www.youtube.com/watch?v=QQ7IymVHpBA,@bhanud9258,පොලිසියටත් system change එකක් ඕනේ. මේක ඉසේරදේට කොට්ටේ මාරු කරනව වගේ වැඩක්.
https://www.youtube.com/watch?v=QQ7IymVHpBA,@amilasamarakoon4859,Mun okkoma paga maruwo
https://www.youtube.com/watch?v=lNHocuACHcw,@nirmalarathnayaka5752,හා හා මු නේද අර මාද්ධ්‍ය  වැඩ සටහානකදි සරම කඩලා ගැහුවේ මේ ජඩ තක්කඩින්ට බලය දෙන්න එපා කරුනාකරලා
https://www.youtube.com/watch?v=lNHocuACHcw,@Backtrump,කුඩු දිගා 
https://www.youtube.com/watch?v=lNHocuACHcw,@sdayabaran,Don’t think twice just vote for NPP
https://www.youtube.com/watch?v=lNHocuACHcw,@nishanthajayalath1091,"Election thibbe nethi party wala indala, dan Rawattuwalu "
https://www.youtube.com/watch?v=lNHocuACHcw,@brexitisland39, පව් බන්
https://www.youtube.com/watch?v=lNHocuACHcw,@nishanthajayalath1091,Moda moosaayek
https://www.youtube.com/watch?v=lNHocuACHcw,@palithavithana1699,Mun patta horu. Janathawa nomaga arala vanjabuna aya. Mun sapa gaththa boru keyalama. Dan ewa ewari.
https://www.youtube.com/watch?v=lNHocuACHcw,@sankadissanayaka3920,කුඩු දිගා කිව්වේ මූට නේද
https://www.youtube.com/watch?v=lNHocuACHcw,@wxrcpn-uy6ox,"Dinanawa labba Digambaram uba, Kudda kyala banne ubema set eke ekek ne, wena mona kathada. Hora hatta pannala Jathi beda nathiwa Janathawa sadaha chandaya denna."
https://www.youtube.com/watch?v=lNHocuACHcw,@samanthaperera1368,
https://www.youtube.com/watch?v=H5AQNnZmKsY,@swetifernando1652,
https://www.youtube.com/watch?v=H5AQNnZmKsY,@udayangahewa5258,Only Sri lanka record 
